symbol,nse,bse,tradingview
KABRAEXTRU,KABRAEXTRU,,NSE:KABRAEXTRU
KAJARIACER,KAJARIACER,,NSE:KAJARIACER
KAKATCEM,KAKATCEM,,NSE:KAKATCEM
KALAMANDIR,KALAMANDIR,,NSE:KALAMANDIR
KALPATARU,KALPATARU,,NSE:KALPATARU
KALYANI,KALYANI,,NSE:KALYANI
KALYANIFRG,KALYANIFRG,,NSE:KALYANIFRG
KALYANKJIL,KALYANKJIL,,NSE:KALYANKJIL
KAMATHOTEL,KAMATHOTEL,,NSE:KAMATHOTEL
KAMDHENU,KAMDHENU,,NSE:KAMDHENU
KAMOPAINTS,KAMOPAINTS,,NSE:KAMOPAINTS
KANANIIND,KANANIIND,,NSE:KANANIIND
KANORICHEM,KANORICHEM,,NSE:KANORICHEM
KANPRPLA,KANPRPLA,,NSE:KANPRPLA
KANSAINER,KANSAINER,,NSE:KANSAINER
KAPSTON,KAPSTON,,NSE:KAPSTON
KARMAENG,KARMAENG,,NSE:KARMAENG
KARURVYSYA,KARURVYSYA,,NSE:KARURVYSYA
KAUSHALYA,KAUSHALYA,,NSE:KAUSHALYA
KAVDEFENCE,KAVDEFENCE,,NSE:KAVDEFENCE
KAYA,KAYA,,NSE:KAYA
KAYNES,KAYNES,,NSE:KAYNES
KCP,KCP,,NSE:KCP
KCPSUGIND,KCPSUGIND,,NSE:KCPSUGIND
KDDL,KDDL,,NSE:KDDL
KEC,KEC,,NSE:KEC
KECL,KECL,,NSE:KECL
KEEPLEARN,KEEPLEARN,,NSE:KEEPLEARN
KEI,KEI,,NSE:KEI
KELLTONTEC,KELLTONTEC,,NSE:KELLTONTEC
KERNEX,KERNEX,,NSE:KERNEX
KESORAMIND,KESORAMIND,,NSE:KESORAMIND
KEYFINSERV,KEYFINSERV,,NSE:KEYFINSERV
KFINTECH,KFINTECH,,NSE:KFINTECH
KHADIM,KHADIM,,NSE:KHADIM
KHAICHEM,KHAICHEM,,NSE:KHAICHEM
KHAITANLTD,KHAITANLTD,,NSE:KHAITANLTD
KHANDSE,KHANDSE,,NSE:KHANDSE
KICL,KICL,,NSE:KICL
KILITCH,KILITCH,,NSE:KILITCH
KIMS,KIMS,,NSE:KIMS
KINGFA,KINGFA,,NSE:KINGFA
KIOCL,KIOCL,,NSE:KIOCL
KIRIINDUS,KIRIINDUS,,NSE:KIRIINDUS
KIRLOSBROS,KIRLOSBROS,,NSE:KIRLOSBROS
KIRLOSENG,KIRLOSENG,,NSE:KIRLOSENG
KIRLOSIND,KIRLOSIND,,NSE:KIRLOSIND
KIRLPNU,KIRLPNU,,NSE:KIRLPNU
KITEX,KITEX,,NSE:KITEX
KKCL,KKCL,,NSE:KKCL
KMEW,KMEW,,NSE:KMEW
KMSUGAR,KMSUGAR,,NSE:KMSUGAR
KNAGRI,KNAGRI,,NSE:KNAGRI
KNRCON,KNRCON,,NSE:KNRCON
KOHINOOR,KOHINOOR,,NSE:KOHINOOR
KOKUYOCMLN,KOKUYOCMLN,,NSE:KOKUYOCMLN
KOLTEPATIL,KOLTEPATIL,,NSE:KOLTEPATIL
KOPRAN,KOPRAN,,NSE:KOPRAN
KOTAKBANK,KOTAKBANK,,NSE:KOTAKBANK
KOTARISUG,KOTARISUG,,NSE:KOTARISUG
KOTHARIPET,KOTHARIPET,,NSE:KOTHARIPET
KOTHARIPRO,KOTHARIPRO,,NSE:KOTHARIPRO
KOTYARK,KOTYARK,,NSE:KOTYARK
KPEL,KPEL,,NSE:KPEL
KPIGREEN,KPIGREEN,,NSE:KPIGREEN
KPIL,KPIL,,NSE:KPIL
KPITTECH,KPITTECH,,NSE:KPITTECH
KPRMILL,KPRMILL,,NSE:KPRMILL
KRBL,KRBL,,NSE:KRBL
KREBSBIO,KREBSBIO,,NSE:KREBSBIO
KRIDHANINF,KRIDHANINF,,NSE:KRIDHANINF
KRISHANA,KRISHANA,,NSE:KRISHANA
KRISHIVAL,KRISHIVAL,,NSE:KRISHIVAL
KRISHNADEF,KRISHNADEF,,NSE:KRISHNADEF
KRITI,KRITI,,NSE:KRITI
KRITIKA,KRITIKA,,NSE:KRITIKA
KRITINUT,KRITINUT,,NSE:KRITINUT
KRN,KRN,,NSE:KRN
KRONOX,KRONOX,,NSE:KRONOX
KROSS,KROSS,,NSE:KROSS
KRSNAA,KRSNAA,,NSE:KRSNAA
KRYSTAL,KRYSTAL,,NSE:KRYSTAL
KSB,KSB,,NSE:KSB
KSCL,KSCL,,NSE:KSCL
KSHINTL,KSHINTL,,NSE:KSHINTL
KSHITIJPOL,KSHITIJPOL,,NSE:KSHITIJPOL
KSL,KSL,,NSE:KSL
KSOLVES,KSOLVES,,NSE:KSOLVES
KSR,KSR,,NSE:KSR
KTKBANK,KTKBANK,,NSE:KTKBANK
KUANTUM,KUANTUM,,NSE:KUANTUM
KWIL,KWIL,,NSE:KWIL
LAGNAM,LAGNAM,,NSE:LAGNAM
LAKPRE,LAKPRE,,NSE:LAKPRE
LAL,LAL,,NSE:LAL
LALPATHLAB,LALPATHLAB,,NSE:LALPATHLAB
LAMBODHARA,LAMBODHARA,,NSE:LAMBODHARA
LANCORHOL,LANCORHOL,,NSE:LANCORHOL
LANDMARK,LANDMARK,,NSE:LANDMARK
LAOPALA,LAOPALA,,NSE:LAOPALA
LASA,LASA,,NSE:LASA
LATENTVIEW,LATENTVIEW,,NSE:LATENTVIEW
LATTEYS,LATTEYS,,NSE:LATTEYS
LAURUSLABS,LAURUSLABS,,NSE:LAURUSLABS
LAXMICOT,LAXMICOT,,NSE:LAXMICOT
LAXMIDENTL,LAXMIDENTL,,NSE:LAXMIDENTL
LAXMIINDIA,LAXMIINDIA,,NSE:LAXMIINDIA
LCCINFOTEC,LCCINFOTEC,,NSE:LCCINFOTEC
LEMERITE,LEMERITE,,NSE:LEMERITE
LEMONTREE,LEMONTREE,,NSE:LEMONTREE
LENSKART,LENSKART,,NSE:LENSKART
LEXUS,LEXUS,,NSE:LEXUS
LFIC,LFIC,,NSE:LFIC
LGBBROSLTD,LGBBROSLTD,,NSE:LGBBROSLTD
LGEINDIA,LGEINDIA,,NSE:LGEINDIA
LGHL,LGHL,,NSE:LGHL
LIBAS,LIBAS,,NSE:LIBAS
LIBERTSHOE,LIBERTSHOE,,NSE:LIBERTSHOE
LICHSGFIN,LICHSGFIN,,NSE:LICHSGFIN
LICI,LICI,,NSE:LICI
LIKHITHA,LIKHITHA,,NSE:LIKHITHA
LINC,LINC,,NSE:LINC
LINCOLN,LINCOLN,,NSE:LINCOLN
LINDEINDIA,LINDEINDIA,,NSE:LINDEINDIA
LLOYDSENGG,LLOYDSENGG,,NSE:LLOYDSENGG
LLOYDSENT,LLOYDSENT,,NSE:LLOYDSENT
LLOYDSME,LLOYDSME,,NSE:LLOYDSME
LMW,LMW,,NSE:LMW
LODHA,LODHA,,NSE:LODHA
LOKESHMACH,LOKESHMACH,,NSE:LOKESHMACH
LORDSCHLO,LORDSCHLO,,NSE:LORDSCHLO
LOTUSDEV,LOTUSDEV,,NSE:LOTUSDEV
LOTUSEYE,LOTUSEYE,,NSE:LOTUSEYE
LOVABLE,LOVABLE,,NSE:LOVABLE
LOYALTEX,LOYALTEX,,NSE:LOYALTEX
LPDC,LPDC,,NSE:LPDC
LT,LT,,NSE:LT
LTF,LTF,,NSE:LTF
LTFOODS,LTFOODS,,NSE:LTFOODS
LTM,LTM,,NSE:LTM
LTTS,LTTS,,NSE:LTTS
LUMAXIND,LUMAXIND,,NSE:LUMAXIND
LUMAXTECH,LUMAXTECH,,NSE:LUMAXTECH
LUPIN,LUPIN,,NSE:LUPIN
LUXIND,LUXIND,,NSE:LUXIND
LXCHEM,LXCHEM,,NSE:LXCHEM
LYKALABS,LYKALABS,,NSE:LYKALABS
LYPSAGEMS,LYPSAGEMS,,NSE:LYPSAGEMS
M&M,M&M,,NSE:M&M
M&MFIN,M&MFIN,,NSE:M&MFIN
MAANALU,MAANALU,,NSE:MAANALU
MACPOWER,MACPOWER,,NSE:MACPOWER
MADHAV,MADHAV,,NSE:MADHAV
MADHUCON,MADHUCON,,NSE:MADHUCON
MADRASFERT,MADRASFERT,,NSE:MADRASFERT
MAGADSUGAR,MAGADSUGAR,,NSE:MAGADSUGAR
MAGNUM,MAGNUM,,NSE:MAGNUM
MAHABANK,MAHABANK,,NSE:MAHABANK
MAHAPEXLTD,MAHAPEXLTD,,NSE:MAHAPEXLTD
MAHASTEEL,MAHASTEEL,,NSE:MAHASTEEL
MAHEPC,MAHEPC,,NSE:MAHEPC
MAHESHWARI,MAHESHWARI,,NSE:MAHESHWARI
MAHLIFE,MAHLIFE,,NSE:MAHLIFE
MAHLOG,MAHLOG,,NSE:MAHLOG
MAHSCOOTER,MAHSCOOTER,,NSE:MAHSCOOTER
MAHSEAMLES,MAHSEAMLES,,NSE:MAHSEAMLES
MAITHANALL,MAITHANALL,,NSE:MAITHANALL
MALLCOM,MALLCOM,,NSE:MALLCOM
MALUPAPER,MALUPAPER,,NSE:MALUPAPER
MAMATA,MAMATA,,NSE:MAMATA
MANAKALUCO,MANAKALUCO,,NSE:MANAKALUCO
MANAKCOAT,MANAKCOAT,,NSE:MANAKCOAT
MANAKSIA,MANAKSIA,,NSE:MANAKSIA
MANAKSTEEL,MANAKSTEEL,,NSE:MANAKSTEEL
MANALIPETC,MANALIPETC,,NSE:MANALIPETC
MANAPPURAM,MANAPPURAM,,NSE:MANAPPURAM
MANBA,MANBA,,NSE:MANBA
MANCREDIT,MANCREDIT,,NSE:MANCREDIT
MANGALAM,MANGALAM,,NSE:MANGALAM
MANGLMCEM,MANGLMCEM,,NSE:MANGLMCEM
MANINDS,MANINDS,,NSE:MANINDS
MANINFRA,MANINFRA,,NSE:MANINFRA
MANKIND,MANKIND,,NSE:MANKIND
MANOMAY,MANOMAY,,NSE:MANOMAY
MANORAMA,MANORAMA,,NSE:MANORAMA
MANORG,MANORG,,NSE:MANORG
MANUGRAPH,MANUGRAPH,,NSE:MANUGRAPH
MANYAVAR,MANYAVAR,,NSE:MANYAVAR
MAPMYINDIA,MAPMYINDIA,,NSE:MAPMYINDIA
MARALOVER,MARALOVER,,NSE:MARALOVER
MARATHON,MARATHON,,NSE:MARATHON
MARICO,MARICO,,NSE:MARICO
MARINE,MARINE,,NSE:MARINE
MARKOLINES,MARKOLINES,,NSE:MARKOLINES
MARKSANS,MARKSANS,,NSE:MARKSANS
MARSONS,MARSONS,,NSE:MARSONS
MARUTI,MARUTI,,NSE:MARUTI
MASFIN,MASFIN,,NSE:MASFIN
MASKINVEST,MASKINVEST,,NSE:MASKINVEST
MASTEK,MASTEK,,NSE:MASTEK
MASTERTR,MASTERTR,,NSE:MASTERTR
MATRIMONY,MATRIMONY,,NSE:MATRIMONY
MAWANASUG,MAWANASUG,,NSE:MAWANASUG
MAXESTATES,MAXESTATES,,NSE:MAXESTATES
MAXHEALTH,MAXHEALTH,,NSE:MAXHEALTH
MAXIND,MAXIND,,NSE:MAXIND
MAYURUNIQ,MAYURUNIQ,,NSE:MAYURUNIQ
MAZDA,MAZDA,,NSE:MAZDA
MAZDOCK,MAZDOCK,,NSE:MAZDOCK
MBAPL,MBAPL,,NSE:MBAPL
MBEL,MBEL,,NSE:MBEL
MBLINFRA,MBLINFRA,,NSE:MBLINFRA
MCL,MCL,,NSE:MCL
MCLEODRUSS,MCLEODRUSS,,NSE:MCLEODRUSS
MCLOUD,MCLOUD,,NSE:MCLOUD
MCX,MCX,,NSE:MCX
MEDANTA,MEDANTA,,NSE:MEDANTA
MEDIASSIST,MEDIASSIST,,NSE:MEDIASSIST
MEDICAMEQ,MEDICAMEQ,,NSE:MEDICAMEQ
MEDICO,MEDICO,,NSE:MEDICO
MEDPLUS,MEDPLUS,,NSE:MEDPLUS
MEESHO,MEESHO,,NSE:MEESHO
MEGASTAR,MEGASTAR,,NSE:MEGASTAR
MEIL,MEIL,,NSE:MEIL
MENONBE,MENONBE,,NSE:MENONBE
MEP,MEP,,NSE:MEP
METROBRAND,METROBRAND,,NSE:METROBRAND
METROPOLIS,METROPOLIS,,NSE:METROPOLIS
MFML,MFML,,NSE:MFML
MFSL,MFSL,,NSE:MFSL
MGEL,MGEL,,NSE:MGEL
MGL,MGL,,NSE:MGL
MHLXMIRU,MHLXMIRU,,NSE:MHLXMIRU
MHRIL,MHRIL,,NSE:MHRIL
MICEL,MICEL,,NSE:MICEL
MIDHANI,MIDHANI,,NSE:MIDHANI
MIDWESTLTD,MIDWESTLTD,,NSE:MIDWESTLTD
MINDACORP,MINDACORP,,NSE:MINDACORP
MINDTECK,MINDTECK,,NSE:MINDTECK
MIRCELECTR,MIRCELECTR,,NSE:MIRCELECTR
MIRZAINT,MIRZAINT,,NSE:MIRZAINT
MITCON,MITCON,,NSE:MITCON
MITTAL,MITTAL,,NSE:MITTAL
MKPL,MKPL,,NSE:MKPL
MMFL,MMFL,,NSE:MMFL
MMP,MMP,,NSE:MMP
MMTC,MMTC,,NSE:MMTC
MOBIKWIK,MOBIKWIK,,NSE:MOBIKWIK
MODINATUR,MODINATUR,,NSE:MODINATUR
MODIRUBBER,MODIRUBBER,,NSE:MODIRUBBER
MODIS,MODIS,,NSE:MODIS
MODISONLTD,MODISONLTD,,NSE:MODISONLTD
MODTHREAD,MODTHREAD,,NSE:MODTHREAD
MOHITIND,MOHITIND,,NSE:MOHITIND
MOIL,MOIL,,NSE:MOIL
MOKSH,MOKSH,,NSE:MOKSH
MOL,MOL,,NSE:MOL
MOLDTECH,MOLDTECH,,NSE:MOLDTECH
MOLDTKPAC,MOLDTKPAC,,NSE:MOLDTKPAC
MONARCH,MONARCH,,NSE:MONARCH
MONEYBOXX,MONEYBOXX,,NSE:MONEYBOXX
MONTECARLO,MONTECARLO,,NSE:MONTECARLO
MORARJEE,MORARJEE,,NSE:MORARJEE
MOREPENLAB,MOREPENLAB,,NSE:MOREPENLAB
MOSCHIP,MOSCHIP,,NSE:MOSCHIP
MOTHERSON,MOTHERSON,,NSE:MOTHERSON
MOTILALOFS,MOTILALOFS,,NSE:MOTILALOFS
MOTISONS,MOTISONS,,NSE:MOTISONS
MOTOGENFIN,MOTOGENFIN,,NSE:MOTOGENFIN
MPHASIS,MPHASIS,,NSE:MPHASIS
MPSLTD,MPSLTD,,NSE:MPSLTD
MRF,MRF,,NSE:MRF
MRPL,MRPL,,NSE:MRPL
MSPL,MSPL,,NSE:MSPL
MSTCLTD,MSTCLTD,,NSE:MSTCLTD
MSUMI,MSUMI,,NSE:MSUMI
MTARTECH,MTARTECH,,NSE:MTARTECH
MTEDUCARE,MTEDUCARE,,NSE:MTEDUCARE
MTNL,MTNL,,NSE:MTNL
MUFIN,MUFIN,,NSE:MUFIN
MUFTI,MUFTI,,NSE:MUFTI
MUKANDLTD,MUKANDLTD,,NSE:MUKANDLTD
MUKKA,MUKKA,,NSE:MUKKA
MUKTAARTS,MUKTAARTS,,NSE:MUKTAARTS
MUNJALAU,MUNJALAU,,NSE:MUNJALAU
MUNJALSHOW,MUNJALSHOW,,NSE:MUNJALSHOW
MURUDCERA,MURUDCERA,,NSE:MURUDCERA
MUTHOOTCAP,MUTHOOTCAP,,NSE:MUTHOOTCAP
MUTHOOTFIN,MUTHOOTFIN,,NSE:MUTHOOTFIN
MUTHOOTMF,MUTHOOTMF,,NSE:MUTHOOTMF
MVGJL,MVGJL,,NSE:MVGJL
MWL,MWL,,NSE:MWL
NACLIND,NACLIND,,NSE:NACLIND
NAGAFERT,NAGAFERT,,NSE:NAGAFERT
NAGREEKCAP,NAGREEKCAP,,NSE:NAGREEKCAP
NAGREEKEXP,NAGREEKEXP,,NSE:NAGREEKEXP
NAHARCAP,NAHARCAP,,NSE:NAHARCAP
NAHARINDUS,NAHARINDUS,,NSE:NAHARINDUS
NAHARPOLY,NAHARPOLY,,NSE:NAHARPOLY
NAHARSPING,NAHARSPING,,NSE:NAHARSPING
NAM-INDIA,NAM-INDIA,,NSE:NAM-INDIA
NARMADA,NARMADA,,NSE:NARMADA
NATCAPSUQ,NATCAPSUQ,,NSE:NATCAPSUQ
NATCOPHARM,NATCOPHARM,,NSE:NATCOPHARM
NATHBIOGEN,NATHBIOGEN,,NSE:NATHBIOGEN
NATIONALUM,NATIONALUM,,NSE:NATIONALUM
NAUKRI,NAUKRI,,NSE:NAUKRI
NAVA,NAVA,,NSE:NAVA
NAVINFLUOR,NAVINFLUOR,,NSE:NAVINFLUOR
NAVKARCORP,NAVKARCORP,,NSE:NAVKARCORP
NAVKARURB,NAVKARURB,,NSE:NAVKARURB
NAVNETEDUL,NAVNETEDUL,,NSE:NAVNETEDUL
NAZARA,NAZARA,,NSE:NAZARA
NBCC,NBCC,,NSE:NBCC
NBIFIN,NBIFIN,,NSE:NBIFIN
NCC,NCC,,NSE:NCC
NCLIND,NCLIND,,NSE:NCLIND
NDGL,NDGL,,NSE:NDGL
NDL,NDL,,NSE:NDL
NDLVENTURE,NDLVENTURE,,NSE:NDLVENTURE
NDRAUTO,NDRAUTO,,NSE:NDRAUTO
NDTV,NDTV,,NSE:NDTV
NECCLTD,NECCLTD,,NSE:NECCLTD
NECLIFE,NECLIFE,,NSE:NECLIFE
NELCAST,NELCAST,,NSE:NELCAST
NELCO,NELCO,,NSE:NELCO
NEOGEN,NEOGEN,,NSE:NEOGEN
NEPHROPLUS,NEPHROPLUS,,NSE:NEPHROPLUS
NESCO,NESCO,,NSE:NESCO
NESTLEIND,NESTLEIND,,NSE:NESTLEIND
NETWEB,NETWEB,,NSE:NETWEB
NETWORK18,NETWORK18,,NSE:NETWORK18
NEUEON,NEUEON,,NSE:NEUEON
NEULANDLAB,NEULANDLAB,,NSE:NEULANDLAB
NEWGEN,NEWGEN,,NSE:NEWGEN
NEXTMEDIA,NEXTMEDIA,,NSE:NEXTMEDIA
NFL,NFL,,NSE:NFL
NGIL,NGIL,,NSE:NGIL
NGLFINE,NGLFINE,,NSE:NGLFINE
NH,NH,,NSE:NH
NHPC,NHPC,,NSE:NHPC
NIACL,NIACL,,NSE:NIACL
NIBE,NIBE,,NSE:NIBE
NIBL,NIBL,,NSE:NIBL
NIITLTD,NIITLTD,,NSE:NIITLTD
NIITMTS,NIITMTS,,NSE:NIITMTS
NILAINFRA,NILAINFRA,,NSE:NILAINFRA
NILASPACES,NILASPACES,,NSE:NILASPACES
NILKAMAL,NILKAMAL,,NSE:NILKAMAL
NINSYS,NINSYS,,NSE:NINSYS
NIPPOBATRY,NIPPOBATRY,,NSE:NIPPOBATRY
NIRAJ,NIRAJ,,NSE:NIRAJ
NIRAJISPAT,NIRAJISPAT,,NSE:NIRAJISPAT
NITCO,NITCO,,NSE:NITCO
NITINSPIN,NITINSPIN,,NSE:NITINSPIN
NITIRAJ,NITIRAJ,,NSE:NITIRAJ
NIVABUPA,NIVABUPA,,NSE:NIVABUPA
NKIND,NKIND,,NSE:NKIND
NLCINDIA,NLCINDIA,,NSE:NLCINDIA
NMDC,NMDC,,NSE:NMDC
NOCIL,NOCIL,,NSE:NOCIL
NOIDATOLL,NOIDATOLL,,NSE:NOIDATOLL
NORBTEAEXP,NORBTEAEXP,,NSE:NORBTEAEXP
NORTHARC,NORTHARC,,NSE:NORTHARC
NOVAAGRI,NOVAAGRI,,NSE:NOVAAGRI
NPST,NPST,,NSE:NPST
NRAIL,NRAIL,,NSE:NRAIL
NRBBEARING,NRBBEARING,,NSE:NRBBEARING
NRL,NRL,,NSE:NRL
NSIL,NSIL,,NSE:NSIL
NSLNISP,NSLNISP,,NSE:NSLNISP
NTPC,NTPC,,NSE:NTPC
NTPCGREEN,NTPCGREEN,,NSE:NTPCGREEN
NUCLEUS,NUCLEUS,,NSE:NUCLEUS
NURECA,NURECA,,NSE:NURECA
NUVAMA,NUVAMA,,NSE:NUVAMA
NUVOCO,NUVOCO,,NSE:NUVOCO
NYKAA,NYKAA,,NSE:NYKAA
OAL,OAL,,NSE:OAL
OBCL,OBCL,,NSE:OBCL
OBEROIRLTY,OBEROIRLTY,,NSE:OBEROIRLTY
OCCLLTD,OCCLLTD,,NSE:OCCLLTD
ODIGMA,ODIGMA,,NSE:ODIGMA
OFSS,OFSS,,NSE:OFSS
OIL,OIL,,NSE:OIL
OILCOUNTUB,OILCOUNTUB,,NSE:OILCOUNTUB
OLAELEC,OLAELEC,,NSE:OLAELEC
OLECTRA,OLECTRA,,NSE:OLECTRA
OMAXAUTO,OMAXAUTO,,NSE:OMAXAUTO
OMAXE,OMAXE,,NSE:OMAXE
OMFREIGHT,OMFREIGHT,,NSE:OMFREIGHT
OMINFRAL,OMINFRAL,,NSE:OMINFRAL
OMKARCHEM,OMKARCHEM,,NSE:OMKARCHEM
OMNI,OMNI,,NSE:OMNI
ONELIFECAP,ONELIFECAP,,NSE:ONELIFECAP
ONEPOINT,ONEPOINT,,NSE:ONEPOINT
ONESOURCE,ONESOURCE,,NSE:ONESOURCE
ONGC,ONGC,,NSE:ONGC
ONMOBILE,ONMOBILE,,NSE:ONMOBILE
ONWARDTEC,ONWARDTEC,,NSE:ONWARDTEC
OPTIEMUS,OPTIEMUS,,NSE:OPTIEMUS
ORBTEXP,ORBTEXP,,NSE:ORBTEXP
ORCHASP,ORCHASP,,NSE:ORCHASP
ORCHPHARMA,ORCHPHARMA,,NSE:ORCHPHARMA
ORICONENT,ORICONENT,,NSE:ORICONENT
ORIENTALTL,ORIENTALTL,,NSE:ORIENTALTL
ORIENTBELL,ORIENTBELL,,NSE:ORIENTBELL
ORIENTCEM,ORIENTCEM,,NSE:ORIENTCEM
ORIENTCER,ORIENTCER,,NSE:ORIENTCER
ORIENTELEC,ORIENTELEC,,NSE:ORIENTELEC
ORIENTHOT,ORIENTHOT,,NSE:ORIENTHOT
ORIENTLTD,ORIENTLTD,,NSE:ORIENTLTD
ORIENTPPR,ORIENTPPR,,NSE:ORIENTPPR
ORIENTTECH,ORIENTTECH,,NSE:ORIENTTECH
ORISSAMINE,ORISSAMINE,,NSE:ORISSAMINE
ORKLAINDIA,ORKLAINDIA,,NSE:ORKLAINDIA
ORTEL,ORTEL,,NSE:ORTEL
ORTINGLOBE,ORTINGLOBE,,NSE:ORTINGLOBE
OSIAHYPER,OSIAHYPER,,NSE:OSIAHYPER
OSWALAGRO,OSWALAGRO,,NSE:OSWALAGRO
OSWALGREEN,OSWALGREEN,,NSE:OSWALGREEN
OSWALPUMPS,OSWALPUMPS,,NSE:OSWALPUMPS
OSWALSEEDS,OSWALSEEDS,,NSE:OSWALSEEDS
PACEDIGITK,PACEDIGITK,,NSE:PACEDIGITK
PAGEIND,PAGEIND,,NSE:PAGEIND
PAISALO,PAISALO,,NSE:PAISALO
PAKKA,PAKKA,,NSE:PAKKA
PALASHSECU,PALASHSECU,,NSE:PALASHSECU
PALREDTEC,PALREDTEC,,NSE:PALREDTEC
PANACEABIO,PANACEABIO,,NSE:PANACEABIO
PANACHE,PANACHE,,NSE:PANACHE
PANAMAPET,PANAMAPET,,NSE:PANAMAPET
PANSARI,PANSARI,,NSE:PANSARI
PAR,PAR,,NSE:PAR
PARACABLES,PARACABLES,,NSE:PARACABLES
PARADEEP,PARADEEP,,NSE:PARADEEP
PARAGMILK,PARAGMILK,,NSE:PARAGMILK
PARAS,PARAS,,NSE:PARAS
PARASPETRO,PARASPETRO,,NSE:PARASPETRO
PARKHOSPS,PARKHOSPS,,NSE:PARKHOSPS
PARKHOTELS,PARKHOTELS,,NSE:PARKHOTELS
PARSVNATH,PARSVNATH,,NSE:PARSVNATH
PASHUPATI,PASHUPATI,,NSE:PASHUPATI
PASUPTAC,PASUPTAC,,NSE:PASUPTAC
PATANJALI,PATANJALI,,NSE:PATANJALI
PATELENG,PATELENG,,NSE:PATELENG
PATELRMART,PATELRMART,,NSE:PATELRMART
PATINTLOG,PATINTLOG,,NSE:PATINTLOG
PAUSHAKLTD,PAUSHAKLTD,,NSE:PAUSHAKLTD
PAVNAIND,PAVNAIND,,NSE:PAVNAIND
PAYTM,PAYTM,,NSE:PAYTM
PCBL,PCBL,,NSE:PCBL
PCJEWELLER,PCJEWELLER,,NSE:PCJEWELLER
PDMJEPAPER,PDMJEPAPER,,NSE:PDMJEPAPER
PDSL,PDSL,,NSE:PDSL
PEARLPOLY,PEARLPOLY,,NSE:PEARLPOLY
PENIND,PENIND,,NSE:PENIND
PENINLAND,PENINLAND,,NSE:PENINLAND
PERSISTENT,PERSISTENT,,NSE:PERSISTENT
PETRONET,PETRONET,,NSE:PETRONET
PFC,PFC,,NSE:PFC
PFIZER,PFIZER,,NSE:PFIZER
PFOCUS,PFOCUS,,NSE:PFOCUS
PFS,PFS,,NSE:PFS
PGEL,PGEL,,NSE:PGEL
PGHH,PGHH,,NSE:PGHH
PGHL,PGHL,,NSE:PGHL
PGIL,PGIL,,NSE:PGIL
PHOENIXLTD,PHOENIXLTD,,NSE:PHOENIXLTD
PICCADIL,PICCADIL,,NSE:PICCADIL
PIDILITIND,PIDILITIND,,NSE:PIDILITIND
PIGL,PIGL,,NSE:PIGL
PIIND,PIIND,,NSE:PIIND
PILANIINVS,PILANIINVS,,NSE:PILANIINVS
PILITA,PILITA,,NSE:PILITA
PINELABS,PINELABS,,NSE:PINELABS
PIONEEREMB,PIONEEREMB,,NSE:PIONEEREMB
PIRAMALFIN,PIRAMALFIN,,NSE:PIRAMALFIN
PITTIENG,PITTIENG,,NSE:PITTIENG
PIXTRANS,PIXTRANS,,NSE:PIXTRANS
PKTEA,PKTEA,,NSE:PKTEA
PLASTIBLEN,PLASTIBLEN,,NSE:PLASTIBLEN
PLATIND,PLATIND,,NSE:PLATIND
PLAZACABLE,PLAZACABLE,,NSE:PLAZACABLE
PNB,PNB,,NSE:PNB
PNBGILTS,PNBGILTS,,NSE:PNBGILTS
PNBHOUSING,PNBHOUSING,,NSE:PNBHOUSING
PNC,PNC,,NSE:PNC
PNCINFRA,PNCINFRA,,NSE:PNCINFRA
PNGJL,PNGJL,,NSE:PNGJL
PNGSREVA,PNGSREVA,,NSE:PNGSREVA
POCL,POCL,,NSE:POCL
PODDARMENT,PODDARMENT,,NSE:PODDARMENT
POKARNA,POKARNA,,NSE:POKARNA
POLICYBZR,POLICYBZR,,NSE:POLICYBZR
POLYCAB,POLYCAB,,NSE:POLYCAB
POLYMED,POLYMED,,NSE:POLYMED
POLYPLEX,POLYPLEX,,NSE:POLYPLEX
PONNIERODE,PONNIERODE,,NSE:PONNIERODE
POONAWALLA,POONAWALLA,,NSE:POONAWALLA
POWERGRID,POWERGRID,,NSE:POWERGRID
POWERINDIA,POWERINDIA,,NSE:POWERINDIA
POWERMECH,POWERMECH,,NSE:POWERMECH
PPAP,PPAP,,NSE:PPAP
PPL,PPL,,NSE:PPL
PPLPHARMA,PPLPHARMA,,NSE:PPLPHARMA
PRABHA,PRABHA,,NSE:PRABHA
PRAENG,PRAENG,,NSE:PRAENG
PRAJIND,PRAJIND,,NSE:PRAJIND
PRAKASH,PRAKASH,,NSE:PRAKASH
PRAKASHSTL,PRAKASHSTL,,NSE:PRAKASHSTL
PRAXIS,PRAXIS,,NSE:PRAXIS
PRECAM,PRECAM,,NSE:PRECAM
PRECOT,PRECOT,,NSE:PRECOT
PRECWIRE,PRECWIRE,,NSE:PRECWIRE
PREMEXPLN,PREMEXPLN,,NSE:PREMEXPLN
PREMIER,PREMIER,,NSE:PREMIER
PREMIERENE,PREMIERENE,,NSE:PREMIERENE
PREMIERPOL,PREMIERPOL,,NSE:PREMIERPOL
PRESTIGE,PRESTIGE,,NSE:PRESTIGE
PRICOLLTD,PRICOLLTD,,NSE:PRICOLLTD
PRIMESECU,PRIMESECU,,NSE:PRIMESECU
PRIMO,PRIMO,,NSE:PRIMO
PRINCEPIPE,PRINCEPIPE,,NSE:PRINCEPIPE
